date,width_z,stress,fired,alert_level
2022-12-06,-0.622951519072437,0.006728327534297983,0,green
2022-12-07,-0.681581256592078,0.0005687274566157395,0,green
2022-12-08,-0.7385633647197968,0.001197980512368334,0,green
2022-12-09,-0.8908263043291895,0.011031892214500873,0,green
2022-12-12,-0.8563762316619947,0.010039287682752727,0,green
2022-12-13,-0.9618911945890621,0.001748614580998986,0,green
2022-12-14,-0.921788355793816,0.026410272579158182,0,green
2022-12-15,-0.9152883605631068,0.014003454750803534,0,green
2022-12-16,-0.7843203799066143,0.07299302549577957,0,green
2022-12-19,0.8578008607092185,0.8804428041881501,1,green
2022-12-20,-0.8402882784158273,0.021634818646120522,0,green
2022-12-21,-0.8880113304575922,0.006813137354868108,0,green
2022-12-22,-0.39318501581828363,0.29454767536303744,0,green
2022-12-23,-0.936685894343447,0.0002295993882698595,0,green
2022-12-26,0.4086659489855217,0.7038990469994659,1,green
2022-12-27,-1.0530441155892742,0.0024877673936774566,0,green
2022-12-28,-1.0334555770791334,0.00014492278761453373,0,green
2022-12-29,-1.0849282708006494,0.0012535166163401476,0,green
2022-12-30,-1.0950337070516079,9.446591359450828e-05,0,green
2023-01-03,-0.5136773585411096,0.376923513983267,0,green
2023-01-04,0.39009665179586694,0.8263291683897813,1,green
2023-01-05,0.9396507149535213,0.9999355421979612,1,red
2023-01-06,-1.0577559279565443,0.00045760269932228464,0,green
2023-01-09,-1.0158435777553767,0.017379989282079712,0,green
2023-01-10,-1.0878072133337802,0.00015323387958864794,0,green
2023-01-11,-1.0737259287289456,0.0020962075564195937,0,green
2023-01-12,-1.0836677984805987,0.0002799151044284695,0,green
2023-01-13,0.5064786698293797,0.8695851397424088,1,green
2023-01-16,0.8368354155784522,0.9979578378569708,1,red
2023-01-17,-1.1294954264233417,0.0006434308953673008,0,green
2023-01-18,-1.1847958694636813,0.001252534595258659,0,green
2023-01-19,-0.7018102987961141,0.3070767191287945,0,green
2023-01-20,-1.0963223047065818,0.05955372649706689,0,green
2023-01-30,0.37664626558593706,0.8546875566506872,1,green
2023-01-31,-0.43398619828622076,0.406542915131947,0,green
2023-02-01,-0.9989171666884651,0.07260598827847176,0,green
2023-02-02,-1.0866444010558902,0.009941899616010942,0,green
2023-02-03,-1.0655864428533801,0.002339560095191655,0,green
2023-02-06,-0.8066543879169645,0.10580297016703463,0,green
2023-02-07,-1.014099075528175,0.0005678904124911068,0,green
2023-02-08,-1.0405917211862417,0.0003486623034177195,0,green
2023-02-09,1.110217117237921,0.9833400223939023,1,red
2023-02-10,-1.0012496082178204,0.0004148096154168087,0,green
2023-02-13,-1.0512795331835794,0.000969626880567945,0,green
2023-02-14,-1.0348923861183583,0.0,0,green
2023-02-15,-0.0588964525342037,0.47229902277953717,0,green
2023-02-16,1.0007279064723649,0.8559958945931699,1,green
2023-02-17,1.2499811470022075,0.9170430662989412,1,green
2023-02-20,0.8190459678890681,0.7395399129310415,1,green
2023-02-21,-0.8853056577731321,0.0020367859425168477,0,green
2023-02-22,-0.8741386947858413,0.00010287072023160771,0,green
2023-02-23,-0.9116427606079133,0.00015074523906696415,0,green
2023-02-24,-0.9008785576220038,0.005360443526159601,0,green
2023-02-27,-0.9436460461979014,0.00021913353765191075,0,green
2023-02-28,-0.9786956532750813,0.00020727064060272878,0,green
2023-03-01,-0.07043935415663889,0.43722158312920434,0,green
2023-03-02,-1.0353894402870758,0.0003127433361348301,0,green
2023-03-03,-0.9354176735137614,0.04356297133337455,0,green
2023-03-06,1.2151604626756698,0.9669684177876079,1,yellow
2023-03-07,1.5930117437008564,0.9984443890457084,1,red
2023-03-08,-0.9770424875375904,0.011242662095918891,0,green
2023-03-09,-1.0955630612778016,0.0006038798981999054,0,green
2023-03-10,1.451253831089202,0.9851789044186829,1,red
2023-03-13,-0.7104327081902807,0.14241835473893313,0,green
2023-03-14,1.4525675097422843,0.9653882564862204,1,yellow
2023-03-15,-0.9354002289078401,0.0011965150923943801,0,green
2023-03-16,0.5384322927569226,0.6582889271682109,1,green
2023-03-17,1.1149063717306977,0.8695922023916984,1,green
2023-03-20,0.11394507813943404,0.5282531224948318,0,green
2023-03-21,0.9719485565702093,0.7764182043586707,1,green
2023-03-22,-0.7320014022357132,0.06619437501252066,0,green
2023-03-23,-0.4901407975442232,0.14923994526071158,0,green
2023-03-24,-0.8076907430053946,0.00035283335707408285,0,green
2023-03-27,-0.8171747978946721,9.930398662439847e-05,0,green
2023-03-28,-0.7428162816146406,0.007642628367066695,0,green
2023-03-29,-0.7805992874003561,0.00618436351803888,0,green
2023-03-30,-0.7718077852964836,0.0007381501546048451,0,green
2023-03-31,-0.77796424539898,0.0012356445147712364,0,green
2023-04-03,1.893487193378625,0.9985291705187,1,red
2023-04-04,-0.7445041259595103,0.0002301350531097422,0,green
2023-04-06,1.6889131087990472,0.9496365204881557,1,yellow
2023-04-07,-0.5501678519937598,0.03480174964695731,0,green
2023-04-10,-0.04055811443757038,0.2826971766199064,0,green
2023-04-11,-0.6716485384579666,0.0024519605900022133,0,green
2023-04-12,-0.43204492047167764,0.14297251931182514,0,green
2023-04-13,-0.33469638367380483,0.15800596933926678,0,green
2023-04-14,-0.1035115288051284,0.2801279871856863,0,green
2023-04-17,1.592940798210121,0.8818707989051283,1,green
2023-04-18,-0.7273611095808779,0.0004592099667513026,0,green
2023-04-19,-0.7755627009355959,0.0004187357636801551,0,green
2023-04-20,0.8264127148295373,0.6478949162331277,1,green
2023-04-21,2.1022659059366715,0.9999557725864259,1,red
2023-04-24,-0.38983182292464286,0.0853675595548961,0,green
2023-04-25,1.8660340522111885,0.8893675639279266,1,green
2023-04-26,-0.48800689722891727,0.0012465204058519403,0,green
2023-04-27,-0.5011866508020826,0.003410218430819147,0,green
2023-04-28,0.24571165494373082,0.3097040067232662,0,green
2023-05-04,2.0720580755172944,0.9387587098887249,1,yellow
2023-05-05,-0.49635659896401674,0.005298591815817818,0,green
2023-05-08,-0.22029833305109944,0.1030927691137475,0,green
2023-05-09,-0.511684896445233,0.0012578709177892325,0,green
2023-05-10,-0.4960312697024271,0.014655249103501983,0,green
